study-index,user,Unnamed: 0,attachments,blocks,client_msg_id,display_as_bot,edited,files,inviter,latest_reply,parent_user_id,reactions,replies,reply_count,reply_users,reply_users_count,source_team,subscribed,subtype,team,text,thread_ts,ts,type,upload,user_profile,user_team
8,UTGD132FR,29,0,29,29,0,0,0,0,0,1,3,0,0,0,0,29,0,0,29,29,1,29,29,0,29,29
9,UNPEBLGE4,18,0,18,18,0,1,0,0,0,0,2,0,0,0,0,18,0,0,18,18,0,18,18,0,18,18
9,UTK0DC534,6,0,6,6,0,0,0,0,0,0,2,0,0,0,0,6,0,0,6,6,0,6,6,0,6,6
9,UTK927W58,6,0,6,6,0,2,0,0,0,0,1,0,0,0,0,6,0,0,6,6,0,6,6,0,6,6
9,UTLBPGDH9,20,0,20,20,0,0,0,0,0,0,2,0,0,0,0,20,0,0,20,20,0,20,20,0,20,20
9,UTMMGA8QZ,24,0,24,24,0,0,0,0,0,0,2,0,0,0,0,24,0,0,24,24,0,24,24,0,24,24
9,UTPF8JV4J,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
9,UTREDQATB,8,0,7,7,0,0,0,1,0,0,1,0,0,0,0,7,0,1,7,8,0,8,8,0,7,7
9,UTY08AKD3,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,4,4,0,4,4
9,UTY3A4DMK,27,0,27,27,0,0,0,0,0,0,5,0,0,0,0,27,0,0,27,27,0,27,27,0,27,27
9,UTZ99C59A,22,0,22,22,0,0,0,0,0,0,1,0,0,0,0,22,0,0,22,22,0,22,22,0,22,22
9,UTZAF44U8,21,0,20,20,0,0,0,1,0,0,2,0,0,0,0,20,0,1,20,21,0,21,21,0,20,20
9,UTZMBADMM,12,0,11,11,0,0,0,1,0,0,1,0,0,0,0,11,0,1,11,12,0,12,12,0,11,11
9,UU0401E4E,39,0,39,39,0,1,0,0,0,0,3,0,0,0,0,39,0,0,39,39,0,39,39,0,39,39
9,UU2D13TGV,13,0,12,12,0,0,0,0,0,0,1,0,0,0,0,12,0,1,12,13,0,13,13,0,12,12
9,UU3HP9HF1,18,0,18,18,0,1,0,0,0,0,1,0,0,0,0,18,0,0,18,18,0,18,18,0,18,18
